school_a,matched_school,total_score,match_types
janapriya,shree janpriya  karuniya laxminiya,7.2,"['Location: no match', 'District: partial', 'School Level: complete', 'Root Name: complete', 'Old Name modified_old_name1: complete', 'Old Name modified_old_name2: complete']"
chenakhama,chhenkhama,7.0,"['Location: no match', 'District: complete', 'School Level: no match', 'Root Name: complete', 'Old Name modified_old_name1: complete', 'Old Name modified_old_name2: complete']"
school_a,matched_school,total_score,match_types
janapriya,shree janpriya  karuniya laxminiya,7.2,"['Location: no match', 'District: partial', 'School Level: complete', 'Root Name: complete', 'Old Name modified_old_name1: complete', 'Old Name modified_old_name2: complete']"
chenakhama,chhenkhama,7.0,"['Location: no match', 'District: complete', 'School Level: no match', 'Root Name: complete', 'Old Name modified_old_name1: complete', 'Old Name modified_old_name2: complete']"
gograha,godawari ma ebs,5.0,"['Location: complete', 'District: complete', 'School Level: no match', 'Root Name: partial', 'Old Name modified_old_name1: partial', 'Old Name modified_old_name2: no match']"
shri shamkara,shankar,5.0,"['Location: partial', 'District: no match', 'School Level: no match', 'Root Name: complete', 'Old Name modified_old_name1: partial', 'Old Name modified_old_name2: partial']"
school_a,matched_school,total_score,match_types
janapriya,shree janpriya  karuniya laxminiya,7.2,"['Location: no match', 'District: partial', 'School Level: complete', 'Root Name: complete', 'Old Name modified_old_name1: complete', 'Old Name modified_old_name2: complete']"
chenakhama,chhenkhama,7.0,"['Location: no match', 'District: complete', 'School Level: no match', 'Root Name: complete', 'Old Name modified_old_name1: complete', 'Old Name modified_old_name2: complete']"
gograha,godawari ma ebs,5.0,"['Location: complete', 'District: complete', 'School Level: no match', 'Root Name: partial', 'Old Name modified_old_name1: partial', 'Old Name modified_old_name2: no match']"
shri shamkara,shankar,5.0,"['Location: partial', 'District: no match', 'School Level: no match', 'Root Name: complete', 'Old Name modified_old_name1: partial', 'Old Name modified_old_name2: partial']"
janajagrriti,janajagriti ganga ma vi,7.0,"['Location: no match', 'District: complete', 'School Level: no match', 'Root Name: complete', 'Old Name modified_old_name1: complete', 'Old Name modified_old_name2: complete']"
da~nasi~najare,janaki janata,4.2,"['Location: no match', 'District: partial', 'School Level: complete', 'Root Name: partial', 'Old Name modified_old_name1: partial', 'Old Name modified_old_name2: partial']"
school_a,matched_school,total_score,match_types
janapriya,shree janpriya  karuniya laxminiya,7.2,"['Location: no match', 'District: partial', 'School Level: complete', 'Root Name: complete', 'Old Name modified_old_name1: complete', 'Old Name modified_old_name2: complete']"
chenakhama,chhenkhama,7.0,"['Location: no match', 'District: complete', 'School Level: no match', 'Root Name: complete', 'Old Name modified_old_name1: complete', 'Old Name modified_old_name2: complete']"
gograha,godawari ma ebs,5.0,"['Location: complete', 'District: complete', 'School Level: no match', 'Root Name: partial', 'Old Name modified_old_name1: partial', 'Old Name modified_old_name2: no match']"
shri shamkara,shankar,5.0,"['Location: partial', 'District: no match', 'School Level: no match', 'Root Name: complete', 'Old Name modified_old_name1: partial', 'Old Name modified_old_name2: partial']"
janajagrriti,janajagriti ganga ma vi,7.0,"['Location: no match', 'District: complete', 'School Level: no match', 'Root Name: complete', 'Old Name modified_old_name1: complete', 'Old Name modified_old_name2: complete']"
da~nasi~najare,janaki janata,4.2,"['Location: no match', 'District: partial', 'School Level: complete', 'Root Name: partial', 'Old Name modified_old_name1: partial', 'Old Name modified_old_name2: partial']"
cha~nachaha~nga,changa,4.2,"['Location: no match', 'District: partial', 'School Level: complete', 'Root Name: complete', 'Old Name modified_old_name1: partial', 'Old Name modified_old_name2: no match']"
kheshvara,radha krishna,4.2,"['Location: no match', 'District: partial', 'School Level: complete', 'Root Name: partial', 'Old Name modified_old_name1: partial', 'Old Name modified_old_name2: partial']"
